Timestamp,Age,Gender,Score,Category
2025-11-06T22:20:20.939358,18,Male,148,Extremely Unstable (Emotionally Immature)
2025-11-07T08:21:53.330111,18,Male,132,Moderately Unstable
2025-11-07T09:12:30.224874,18,Male,176,Extremely Unstable (Emotionally Immature)
